№ Объекта	Нас. пункт	Район	Улица	Дом	Цена. т.р.	Ком.	О	Ж	К	Этаж	Этажность
43_100743426	Новосибирск	Октябрьский	Высоцкого	54/1	2050	1	32.4	19.7	5	5	10
43_100743431	Новосибирск	Октябрьский	Выборная	97	1950	1	28.9	15.4	6	3	5
43_100743511	Новосибирск	Октябрьский	Вилюйская	8	2600	1	36.2	15	9	4	17
43_100743513	Новосибирск	Октябрьский	Татьяны Снежиной	45	2350	1	32.7	25	0	9	10
43_100743516	Новосибирск	Октябрьский	Татьяны Снежиной	46/1	2100	1	37	20	5.2	6	12
43_100743517	Новосибирск	Октябрьский	Виталия Потылицына	43649	1950	1	32.4	20	3	7	10
43_100743519	Новосибирск	Октябрьский	Татьяны Снежиной	39/1	2050	1	32.5	19.8	5	9	10
43_100743546	Новосибирск	Октябрьский	Лескова	15	3850	1	44.4	18.8	16.9	3	15
43_100743555	Новосибирск	Октябрьский	Нижегородская	24/1	2900	1	30.3	18.2	6.2	11	14
43_100743556	Новосибирск	Октябрьский	Татьяны Снежиной	45/1	2100	1	32.5	19.8	5	2	10
43_100743595	Новосибирск	Октябрьский	Военная	16	4290	1	51	25.6	14.9	2	26
43_100743598	Новосибирск	Октябрьский	Никитина	43497	3100	1	39.7	19.1	8.9	5	10
43_100743601	Новосибирск	Октябрьский	Выборная	99/4	2350	1	25.8	15	4	2	17
43_100743604	Новосибирск	Октябрьский	Татьяны Снежиной	41/1	2490	1	42.4	16.6	12.3	10	11
43_100743609	Новосибирск	Октябрьский	Татьяны Снежиной	43/1	2130	1	32.4	19.7	5	7	10
43_100743611	Новосибирск	Октябрьский	Высоцкого	50	2350	1	30.1	18.8	6.6	6	10
43_100743612	Новосибирск	Октябрьский	Высоцкого	38	2550	1	34.8	18.5	9	4	10
43_100743613	Новосибирск	Октябрьский	Высоцкого	52/3	1980	1	36.6	25	5	1	10
43_100743614	Новосибирск	Октябрьский	Выборная	122/1	2450	1	37.5	19	9	10	10
43_100743615	Новосибирск	Октябрьский	Татьяны Снежиной	31/1	2700	1	42.2	17	12	3	10
43_100743616	Новосибирск	Октябрьский	Высоцкого	140/4	1850	1	48.94	20.97	13.78	6	10
43_100743619	Новосибирск	Октябрьский	Выборная	91/2	2900	1	45.9	20	11.5	6	17
43_100743637	Новосибирск	Октябрьский	Покатная	130/1	3200	1	27.9	19	0	4	17
43_100743785	Новосибирск	Октябрьский	Ключ-Камышенское Плато	14	3100	1	37.7	17.3	9.8	6	10
43_100743788	Новосибирск	Октябрьский	Владимира Заровного	40	3100	1	38.7	24.5	0	9	15
43_100743793	Новосибирск	Октябрьский	Татьяны Снежиной	41/1	1960	1	32.1	19.7	5	6	11
43_100743794	Новосибирск	Октябрьский	Высоцкого	141/9	1500	1	39.35	28.06	5	10	10
43_100743796	Новосибирск	Октябрьский	Высоцкого	150/3	1600	1	33.6	25	5	1	10
43_100743840	Новосибирск	Октябрьский	Лазурная	28	2333	1	27	0	0	7	18
43_100743841	Новосибирск	Октябрьский	Татьяны Снежиной	39/1	2660	1	42.2	20	13	2	10
43_100743843	Новосибирск	Октябрьский	Вилюйская	11	3500	1	45.9	19	12.6	9	17
43_100743844	Новосибирск	Октябрьский	Высоцкого	140/7	1800	1	48.94	20.97	13.76	10	10
43_10074512	Новосибирск	Октябрьский	Татьяны Снежиной	21	2300	1	37.6	20.8	4.4	3	10
43_10075639	Новосибирск	Октябрьский	Высоцкого	40/2	2499	1	42.6	16.6	12.2	6	10
43_10075869	Новосибирск	Октябрьский	Высоцкого	54/1	2050	1	32.4	25	0	10	10
43_10077659	Новосибирск	Октябрьский	Бориса Богаткова	208/3	3300	1	23.4	17	3	9	25
43_10077856	Новосибирск	Октябрьский	Татьяны Снежиной	45/3	2300	1	38.2	25.35	3	9	10
43_10078419	Новосибирск	Октябрьский	Пролетарская	271/2	3100	1	41.7	17.1	12.7	5	10
43_10078668	Новосибирск	Октябрьский	Тургенева	395	1400	1	32.1	14	11	1	1
43_10079223	Новосибирск	Октябрьский	Бориса Богаткова	67	3990	1	45.9	23.2	12.1	15	16
43_10079344	Новосибирск	Октябрьский	Якушева	16/1	4000	1	53	25	11	5	12
43_10079939	Новосибирск	Октябрьский	Татьяны Снежиной	45	2000	1	32.7	18	0	5	10
43_20070464	Новосибирск	Октябрьский	Декабристов	117	5090	2	59.9	36.5	10.5	11	17
43_20070490	Новосибирск	Октябрьский	Декабристов	117	4860	2	59.3	35.9	12	1	17
43_20070758	Новосибирск	Октябрьский	Декабристов	117	4930	2	60.1	36.8	10.2	1	17
43_20070766	Новосибирск	Октябрьский	Декабристов	117	5235	2	61.6	33.9	13.6	11	17
43_20070767	Новосибирск	Октябрьский	Декабристов	117	5085	2	59.8	36.7	10.4	6	17
43_20070768	Новосибирск	Октябрьский	Декабристов	117	5075	2	59.7	36.6	10.41	7	17
43_20070878	Новосибирск	Октябрьский	Декабристов	117	3700	2	62.3	35.9	10.1	14	17
43_200710741	Новосибирск	Октябрьский	Выборная	113	2650	2	43	27	7	1	5
43_200712068	Новосибирск	Октябрьский	Выборная	91/4	3349	2	39.9	17.7	10.45	8	19
43_200712315	Новосибирск	Октябрьский	Выборная	117	3650	2	41.2	26.1	6.7	4	9
43_200712874	Новосибирск	Октябрьский	Кирова	27/3	6550	2	75.3	17.3	35.3	2	16
43_200712988	Новосибирск	Октябрьский	Военная	16	4250	2	50.3	25.5	15.3	25	25
43_200713038	Новосибирск	Октябрьский	Кирова	76	3999	2	60	32.5	7.5	2	5
43_200713527	Новосибирск	Октябрьский	Выборная	105/3	4750	2	59.2	43	14	2	9
43_200715061	Новосибирск	Октябрьский	Высоцкого	25	2460	2	50.6	30.2	8.2	13	13
43_200715133	Новосибирск	Октябрьский	Большевистская	104	4300	2	50	13.09	19	1	17
43_200715679	Новосибирск	Октябрьский	Виталия Потылицына	7	3250	2	58.2	37.7	8.7	5	10
43_200715906	Новосибирск	Октябрьский	Бориса Богаткова	67	4900	2	55	33	11	9	16
43_200716026	Новосибирск	Октябрьский	Толстого	56	6600	2	70	40	12	9	26
43_20071603	Новосибирск	Октябрьский	Декабристов	117	4995	2	60.9	36.3	13.4	1	17
43_200718589	Новосибирск	Октябрьский	Ленинградская	100	3600	2	44	30	6	5	5
43_200718740	Новосибирск	Октябрьский	Выборная	105/3	4800	2	58.9	33	14	8	9
43_200718741	Новосибирск	Октябрьский	Бориса Богаткова	194/3	3500	2	43.3	27.3	7.1	7	9
43_200718782	Новосибирск	Октябрьский	Татьяны Снежиной	39/1	3390	2	57.8	33	12	5	10
43_200718859	Новосибирск	Октябрьский	Обская 2-я	154	5200	2	60.5	29.5	15.1	1	18
43_200719051	Новосибирск	Октябрьский	Большевистская	100	4600	2	50.4	33	8	1	17
43_200719118	Новосибирск	Октябрьский	Выборная	125/1	4300	2	56	30.7	10	4	10
43_200719424	Новосибирск	Октябрьский	Сакко и Ванцетти	25	6970	2	72.85	52	20	15	17
43_200719666	Новосибирск	Октябрьский	Виталия Потылицына	43771	3150	2	40.1	11.2	16.6	16	18
43_200719703	Новосибирск	Октябрьский	Высоцкого	51	4350	2	65.4	37.8	12.6	9	13
43_200719809	Новосибирск	Октябрьский	Большевистская	118	4970	2	55.8	29.7	12.9	7	17
43_200719915	Новосибирск	Октябрьский	Высоцкого	54	3650	2	75.9	41.93	13.75	8	10
43_200720102	Новосибирск	Октябрьский	Кирова	25	8000	2	78.4	41.5	14.5	4	22
43_200720765	Новосибирск	Октябрьский	Большевистская	34	3400	2	56	32	6.5	4	5
43_200720929	Новосибирск	Октябрьский	Красносельская	43617	4400	2	56.5	33	11.3	8	18
43_200721298	Новосибирск	Октябрьский	Вилюйская	13	4600	2	61.5	35.2	10.8	9	17
43_200721337	Новосибирск	Октябрьский	Гаранина	21	2850	2	47.7	28	7.2	9	9
43_200721582	Новосибирск	Октябрьский	Высоцкого	37	4850	2	68.2	37.9	12	7	9
43_200722053	Новосибирск	Октябрьский	9-го Ноября	95	3750	2	47.8	28.3	8.3	3	9
43_200722182	Новосибирск	Октябрьский	Татьяны Снежиной	39/1	3050	2	57.6	33.5	12.1	1	10
43_200722242	Новосибирск	Октябрьский	Гурьевская	35	2990	2	45.6	30	6	2	5
43_200722400	Новосибирск	Октябрьский	Виталия Потылицына	43649	3450	2	58.2	37.8	8.35	5	10
43_200722447	Новосибирск	Октябрьский	Высоцкого	140/4	2250	2	58.03	37.68	8.35	9	10
43_200722450	Новосибирск	Октябрьский	Лескова	252	2820	2	42.8	25.9	6	9	9
43_200722600	Новосибирск	Октябрьский	Бориса Богаткова	207	3200	2	49.7	26.8	6.9	1	9
43_200722637	Новосибирск	Октябрьский	Зыряновская	121	3500	2	49	30	6	2	5
43_200722787	Новосибирск	Октябрьский	Высоцкого	41/5	3250	2	58.2	37.68	8.06	10	10
43_200722962	Новосибирск	Октябрьский	Шевченко	25	5750	2	48.2	25.5	7.1	13	24
43_200723062	Новосибирск	Октябрьский	Виталия Потылицына	43651	3350	2	54.9	38.4	0	13	18
43_200723065	Новосибирск	Октябрьский	Кирова	46	8300	2	81.9	37.2	13.6	10	12
43_200723285	Новосибирск	Октябрьский	Лазурная	18	3350	2	52.5	30.6	8.8	2	9
43_200723329	Новосибирск	Октябрьский	Обская	121	3750	2	55.9	34.7	8.1	1	4
43_200723368	Новосибирск	Октябрьский	Тургенева	223	2600	2	43.8	0	6	1	5
43_200723371	Новосибирск	Октябрьский	Выборная	101/7	3500	2	59.55	31.7	10.07	2	9
43_20072374	Новосибирск	Октябрьский	Шевченко	15	6500	2	64.2	35	11	10	13
43_200723815	Новосибирск	Октябрьский	Обская 2-я	154	6850	2	54.6	28.8	10.9	9	22
43_200723959	Новосибирск	Октябрьский	Военная	43710	10500	2	64.3	29.3	14.8	21	21
43_200724005	Новосибирск	Октябрьский	Выборная	130/2	3300	2	37.4	14	23	3	3
43_200724013	Новосибирск	Октябрьский	Гурьевская	41	2700	2	44.4	30.5	5.7	2	5
43_200724105	Новосибирск	Октябрьский	Выборная	101/7	3400	2	59.55	31.7	10.07	7	9
43_200724115	Новосибирск	Октябрьский	Высоцкого	140/6	1999	2	63.85	36.42	5.04	10	10
43_200724131	Новосибирск	Октябрьский	Выборная	99/6	4400	2	62.8	35	10	5	7
43_200724286	Новосибирск	Октябрьский	Высоцкого	38	3390	2	52.6	31.4	8.8	6	10
43_200724288	Новосибирск	Октябрьский	Бориса Богаткова	208/2	5150	2	60.1	34	12.3	16	22
43_200724539	Новосибирск	Октябрьский	Высоцкого	40/2	3450	2	58.3	37.6	8.3	5	10
43_200724626	Новосибирск	Октябрьский	Вилюйская	17	4350	2	69.3	35	11	14	15
43_200724833	Новосибирск	Октябрьский	Ленинградская	101/2	5800	2	65.6	36.4	9.9	3	11
43_200725112	Новосибирск	Октябрьский	Выборная	144/1	4700	2	61.4	31.7	12.1	2	10
43_200725114	Новосибирск	Октябрьский	Ключ-Камышенское Плато	12	2900	2	37.4	25	4.6	11	17
43_200725246	Новосибирск	Октябрьский	Высоцкого	49	4380	2	60.3	34.5	11.7	9	15
43_200725368	Новосибирск	Октябрьский	Выборная	158	3940	2	61.1	31.4	13.6	3	10
43_200725392	Новосибирск	Октябрьский	Военная	43710	5434	2	84.9	43.12	17.5	2	18
43_200725393	Новосибирск	Октябрьский	Военная	43710	5890	2	76.5	47	13	11	18
43_200725432	Новосибирск	Октябрьский	Декабристов	70	2600	2	53.7	32.1	7.3	2	2
43_200725647	Новосибирск	Октябрьский	Вилюйская	24	3500	2	43.1	28.5	7.2	2	9
43_200725885	Новосибирск	Октябрьский	Вилюйская	7	4200	2	73.9	35.8	20.9	10	27
43_200725889	Новосибирск	Октябрьский	Кирова	225	4300	2	47	19	19	11	17
43_200725933	Новосибирск	Октябрьский	Бориса Богаткова	173	3300	2	43.6	27.4	7	1	9
43_200726145	Новосибирск	Октябрьский	Большевистская	165	2780	2	44.4	28	5.7	4	5
43_200726226	Новосибирск	Октябрьский	Грибоедова	32/1	3380	2	43.1	27.1	6.8	2	10
43_200726306	Новосибирск	Октябрьский	Михаила Кулагина	31	3780	2	35.9	19.9	6.1	16	25
43_200726350	Новосибирск	Октябрьский	1-я Родниковая	60	3500	2	59.9	33.5	13.7	4	4
43_200726360	Новосибирск	Октябрьский	Лескова	15	4299	2	60.2	35.3	8.9	2	10
43_200726484	Новосибирск	Октябрьский	Высоцкого	11	3100	2	49.9	30.3	8.7	3	10
43_200726593	Новосибирск	Октябрьский	Выборная	101/5	3500	2	51.4	30.4	8.5	5	9
43_200726699	Новосибирск	Октябрьский	Лескова	29	4740	2	53.1	22.32	18.2	4	17
43_200726734	Новосибирск	Октябрьский	Бориса Богаткова	226	3550	2	43.6	27.9	6.9	7	9
43_200726776	Новосибирск	Октябрьский	Михаила Кулагина	31	4950	2	58	26	21	3	20
43_200726777	Новосибирск	Октябрьский	Вилюйская	17	5100	2	64	45.2	18	4	15
43_200726779	Новосибирск	Октябрьский	Высоцкого	41/2	3150	2	49.6	26.7	8	10	10
43_200726922	Новосибирск	Октябрьский	Обская 2-я	69/1	5200	2	82.8	44.7	16.3	2	10
43_200726957	Новосибирск	Октябрьский	Сакко и Ванцетти	77	5000	2	54	32.6	10	11	25
43_200726982	Новосибирск	Октябрьский	Обская 2-я	73	5000	2	81	37.4	10.1	15	16
43_200726986	Новосибирск	Октябрьский	Бориса Богаткова	221	3600	2	47.3	29.3	7	11	12
43_200727061	Новосибирск	Октябрьский	Высоцкого	44	3400	2	52.8	29.2	8.8	9	10
43_200727101	Новосибирск	Октябрьский	Гурьевская	35	2750	2	43.7	32	6	1	5
43_200727103	Новосибирск	Октябрьский	Виталия Потылицына	141/3	3299	2	58.75	37.68	8.35	9	10
43_200727104	Новосибирск	Октябрьский	Владимира Заровного	26	5500	2	62	0	11	3	10
43_200727196	Новосибирск	Октябрьский	Большевистская	102	4550	2	45.9	12.9	18.9	9	17
43_200727306	Новосибирск	Октябрьский	Высоцкого	41/5	3600	2	63.3	38	11	3	10
43_200727308	Новосибирск	Октябрьский	Декабристов	117	5110	2	60.1	36.6	10.4	14	17
43_200727321	Новосибирск	Октябрьский	Владимира Заровного	26/2	6100	2	58.3	0	0	25	25
43_200727340	Новосибирск	Октябрьский	Бориса Богаткова	165	2950	2	43.8	26.8	7	6	9
43_200727344	Новосибирск	Октябрьский	Высоцкого	41/3	2995	2	50.6	30	9	2	10
43_200727423	Новосибирск	Октябрьский	Закаменский мкр	15	5300	2	61.4	35	11	18	27
43_200727710	Новосибирск	Октябрьский	Ленинградская	145	3000	2	46.4	30.2	6	3	5
43_200727735	Новосибирск	Октябрьский	Большевистская	124	5950	2	63.4	30	14	9	9
43_200727737	Новосибирск	Октябрьский	Сибревкома	9	6299	2	62.2	35.39	12.63	5	25
43_200727888	Новосибирск	Октябрьский	Автогенная	77	2550	2	47.2	30	6.2	4	5
43_200727889	Новосибирск	Октябрьский	Ключ-Камышенское Плато	10	2500	2	50.5	31	8.7	9	10
43_200727890	Новосибирск	Октябрьский	Татьяны Снежиной	25/4	3290	2	58	33.8	12.3	10	10
43_200727895	Новосибирск	Октябрьский	Михаила Кулагина	35	4400	2	56	33	9	9	21
43_200727977	Новосибирск	Октябрьский	Сакко и Ванцетти	31/3	5300	2	54.5	31.04	9.52	2	17
43_200728101	Новосибирск	Октябрьский	Якушева	16/1	5700	2	53.1	27.4	9.5	1	12
43_200728104	Новосибирск	Октябрьский	Никитина	70	3700	2	43.5	27.4	7	7	9
43_200728113	Новосибирск	Октябрьский	Лескова	27	6000	2	65.3	26.9	22.3	8	25
43_200728120	Новосибирск	Октябрьский	Лескова	21	5950	2	62.5	32	11	2	25
43_200728123	Новосибирск	Октябрьский	Закаменский мкр	20/3	4000	2	34	10	16.2	5	10
43_200728128	Новосибирск	Октябрьский	Высоцкого	42	3499	2	46.7	26.4	6.7	9	10
43_200728134	Новосибирск	Октябрьский	Высоцкого	54	3700	2	75.8	41.93	13.75	3	10
43_200728136	Новосибирск	Октябрьский	Высоцкого	42/3	3200	2	49	26.5	8	2	10
43_200728140	Новосибирск	Октябрьский	Федосеева	3	3999	2	54	37	8	7	10
43_200728145	Новосибирск	Октябрьский	Кирова	321	2700	2	44.2	29.8	6.9	3	5
43_200728274	Новосибирск	Октябрьский	Никитина	66	3200	2	44.6	27.7	5.7	8	9
43_200728275	Новосибирск	Октябрьский	Бориса Богаткова	194/5	3250	2	43.7	27	7	6	9
43_200728282	Новосибирск	Октябрьский	Кирова	344	6900	2	76.1	38.44	13.1	4	4
43_200728283	Новосибирск	Октябрьский	Выборная	99/4	3200	2	45	23	6.1	8	17
43_200728369	Новосибирск	Октябрьский	Лескова	15	4550	2	57	30.7	12.7	8	10
43_200728383	Новосибирск	Октябрьский	Лескова	27	4200	2	46.2	26.27	5.45	14	25
43_200728392	Новосибирск	Октябрьский	Вилюйская	8	4500	2	57.3	41.3	1	11	17
43_200728399	Новосибирск	Октябрьский	Декабристов	117	3890	2	70	34.1	13.7	13	17
43_200728401	Новосибирск	Октябрьский	Выборная	89/2	4549	2	54.9	31.8	10.1	5	10
43_200728585	Новосибирск	Октябрьский	Гурьевская	39	2700	2	44.3	30	6	3	5
43_200728586	Новосибирск	Октябрьский	Татьяны Снежиной	49	3700	2	75.7	42	16	7	10
43_200728623	Новосибирск	Октябрьский	Бориса Богаткова	186/1	3400	2	48.4	25.9	7.8	3	9
43_200728626	Новосибирск	Октябрьский	Высоцкого	62	3850	2	75.7	41.7	13.9	7	10
43_200728684	Новосибирск	Октябрьский	Бориса Богаткова	208/3	5600	2	60.3	33.7	11.2	5	25
43_200728685	Новосибирск	Октябрьский	Высоцкого	45	4600	2	63.6	35.5	11.3	13	24
43_200728686	Новосибирск	Октябрьский	Обская	50/2	5500	2	72.6	31.1	26.8	4	14
43_200728727	Новосибирск	Октябрьский	Выборная	108	2900	2	46.5	28.5	7.5	8	9
43_200728808	Новосибирск	Октябрьский	Высоцкого	150/2	2250	2	63.85	31.85	5	6	10
43_200728865	Новосибирск	Октябрьский	Федосеева	3	3500	2	49.7	30.2	8.6	9	10
43_200728903	Новосибирск	Октябрьский	Татьяны Снежиной	19/3	3199	2	57.6	38	8	6	10
43_200728908	Новосибирск	Октябрьский	Лазурная	30	4300	2	50.1	29	9.3	14	18
43_200728977	Новосибирск	Октябрьский	Высоцкого	45	4600	2	63.6	35.4	10.9	9	24
43_200728983	Новосибирск	Октябрьский	Бориса Богаткова	163/4	3000	2	44.1	28.4	5.6	3	5
43_200728989	Новосибирск	Октябрьский	Лескова	21	7300	2	69.5	40	15	21	25
43_200729120	Новосибирск	Октябрьский	Виталия Потылицына	11	2999	2	42	25	12	10	10
43_200729152	Новосибирск	Октябрьский	Татьяны Снежиной	46/1	3750	2	61.7	25	17	7	10
43_20072922	Новосибирск	Октябрьский	Выборная	101/7	3020	2	59.61	31.7	10.07	5	9
43_200729231	Новосибирск	Октябрьский	Выборная	91/4	4120	2	63.5	31.7	15.2	5	19
43_200729234	Новосибирск	Октябрьский	Кошурникова	22/2	4855	2	55.3	27.1	11.8	21	21
43_200729306	Новосибирск	Октябрьский	Закаменский мкр	15	5600	2	60.1	33.5	11.4	13	27
43_200729309	Новосибирск	Октябрьский	Никитина	99	1850	2	41.2	27	6.1	1	2
43_200729334	Новосибирск	Октябрьский	Никитина	144	2700	2	43.9	26.2	6.8	2	3
43_200729335	Новосибирск	Октябрьский	Бориса Богаткова	208/3	4100	2	46.2	30	11	18	25
43_200729336	Новосибирск	Октябрьский	Федосеева	10	3500	2	43.7	27.6	7	1	9
43_200729369	Новосибирск	Октябрьский	Высоцкого	44	3200	2	52	30	9	4	10
43_200729372	Новосибирск	Октябрьский	Добролюбова	152/1	4500	2	58.1	33.1	10.4	6	17
43_200729386	Новосибирск	Октябрьский	Кошурникова	32	1590	2	39.5	29	4.3	1	2
43_200729510	Новосибирск	Октябрьский	Большевистская	171	2600	2	43.4	28	5.8	2	5
43_200729543	Новосибирск	Октябрьский	Военная	16	7000	2	77.8	38.5	20.8	8	25
43_200729612	Новосибирск	Октябрьский	Виталия Потылицына	3	3950	2	58.2	29	24	10	10
43_20073160	Новосибирск	Октябрьский	Никитина	70	2800	2	46.6	29	7.2	3	9
43_20073464	Новосибирск	Октябрьский	Высоцкого	150/2	2300	2	63.85	25.35	16.59	5	10
43_20073516	Новосибирск	Октябрьский	Военного городка тер	96	3300	2	61.8	33.4	9.6	2	3
43_20074016	Новосибирск	Октябрьский	Большевистская	20	2550	2	42.9	25	5.6	4	5
43_20074193	Новосибирск	Октябрьский	Ключ-Камышенское Плато	2	2550	2	42.9	27.8	5.9	1	4
43_20076560	Новосибирск	Октябрьский	Высоцкого	150/3	2100	2	63.85	36.42	12	10	10
43_20076852	Новосибирск	Октябрьский	Восход	20/1	6649	2	64.8	44	13	7	19
43_20076943	Новосибирск	Октябрьский	Зыряновская	57	6200	2	82.7	42.7	14.4	12	13
43_20076995	Новосибирск	Октябрьский	Кирова	27/3	7350	2	74.4	38.5	13.1	4	16
43_20077127	Новосибирск	Октябрьский	Ленинградская	145	2650	2	43	34	6	1	5
43_20077383	Новосибирск	Октябрьский	Кирова	27/2	7900	2	78.7	46	14.4	5	12
43_20077433	Новосибирск	Октябрьский	Кирова	27/3	7500	2	76.2	39.6	13.3	4	16
43_20077462	Новосибирск	Октябрьский	Инская	56	5299	2	70.3	46	13.9	2	5
43_20077580	Новосибирск	Октябрьский	Тургенева	1	1599	2	40.1	28.8	6	1	1
43_20078010	Новосибирск	Октябрьский	Высоцкого	37	4199	2	52.2	29.9	9.1	1	9
43_20078304	Новосибирск	Октябрьский	Татьяны Снежиной	46	3895	2	76	42	14	1	10
43_20078623	Новосибирск	Октябрьский	Кирова	27/3	8000	2	91.1	56.5	23.3	16	16
43_20079125	Новосибирск	Октябрьский	Бориса Богаткова	205/1	3350	2	40.3	24.7	5.3	3	9
43_30070200	Новосибирск	Октябрьский	Ленинградская	101/2	7480	3	103.7	60.2	15.9	2	11
43_30070226	Новосибирск	Октябрьский	Декабристов	117	6775	3	84.7	48.1	14.4	7	17
43_30070366	Новосибирск	Октябрьский	Декабристов	117	6775	3	84.7	48.7	14.3	12	17
43_30070567	Новосибирск	Октябрьский	Ключ-Камышенское Плато	4	2990	3	58	38.6	7.5	1	5
43_30070721	Новосибирск	Октябрьский	Большевистская	48	2750	3	77.1	48.6	11.5	4	5
43_30070833	Новосибирск	Октябрьский	Лазурная	2	3800	3	73.5	44.9	8.6	7	10
43_300710040	Новосибирск	Октябрьский	Воинская	7	4000	3	82.4	55.3	9.7	1	3
43_30071005	Новосибирск	Октябрьский	Декабристов	117	4500	3	83.7	48.5	14	3	17
43_30071089	Новосибирск	Октябрьский	Федосеева	2	5200	3	74	39.5	10.6	14	14
43_300710972	Новосибирск	Октябрьский	Высоцкого	49	4500	3	60	34.5	11.7	6	15
43_300711164	Новосибирск	Октябрьский	Карла Либкнехта	94	4480	3	76.7	49.2	8.8	6	10
43_300711254	Новосибирск	Октябрьский	Военная	9	8550	3	136.6	0	0	4	13
43_300711545	Новосибирск	Октябрьский	Высоцкого	31	3900	3	80	52.6	9	9	10
43_300711563	Новосибирск	Октябрьский	Обская	80/1	7200	3	142	114	9	6	11
43_300711593	Новосибирск	Октябрьский	Виталия Потылицына	13	3150	3	58.3	45.5	8.5	1	10
43_300711594	Новосибирск	Октябрьский	Виталия Потылицына	13	3200	3	58	45.5	8.5	1	10
43_300711611	Новосибирск	Октябрьский	Сакко и Ванцетти	25	6950	3	72.3	23.8	5	2	17
43_300711762	Новосибирск	Октябрьский	Шевченко	15	14000	3	104	65.9	20	8	17
43_300711805	Новосибирск	Октябрьский	Кирова	27	19000	3	163	150	10	5	9
43_300711972	Новосибирск	Октябрьский	Выборная	101/3	4350	3	59.2	39.5	7.4	3	5
43_30071241	Новосибирск	Октябрьский	Кирова	225	6200	3	74.2	38	17	3	17
43_300712463	Новосибирск	Октябрьский	Военная	9	6400	3	80.5	50	20	5	13
43_300712499	Новосибирск	Октябрьский	Большевистская	126	7000	3	78.7	45	15	4	10
43_300712501	Новосибирск	Октябрьский	Грибоедова	32/2	4150	3	77.3	62.7	8.5	8	10
43_300712680	Новосибирск	Октябрьский	Тургенева	223	3375	3	61.2	46	5.5	4	5
43_300712696	Новосибирск	Октябрьский	Кирова	110	5200	3	59.8	32	19	2	9
43_300713184	Новосибирск	Октябрьский	Фрунзе	59	4200	3	58.2	40.5	6.8	2	9
43_300713245	Новосибирск	Октябрьский	Высоцкого	45	5000	3	79.8	0	0	2	27
43_300713422	Новосибирск	Октябрьский	Выборная	139	5300	3	82.2	47.9	11.5	4	12
43_300713558	Новосибирск	Октябрьский	Толстого	5	12450	3	111.7	65	20	3	10
43_300713591	Новосибирск	Октябрьский	Лазурная	6	3600	3	74.5	45.3	8.5	1	10
43_300713605	Новосибирск	Октябрьский	Выборная	152/1	5350	3	63.5	41.4	19.1	7	9
43_300713658	Новосибирск	Октябрьский	Панфиловцев	4	1550	3	32.6	20.2	5.8	1	2
43_300713750	Новосибирск	Октябрьский	Шевченко	15	9200	3	89.4	56.1	21.3	8	17
43_300713843	Новосибирск	Октябрьский	Лескова	280	2880	3	58.8	40	6	5	5
43_300713897	Новосибирск	Октябрьский	Гурьевская	78	7950	3	110	75	20	3	14
43_300713950	Новосибирск	Октябрьский	Ключ-Камышенское Плато	14/1	5200	3	77.2	39.8	12.5	4	16
43_300713968	Новосибирск	Октябрьский	Белинского	3	4500	3	64.5	39.7	9	10	10
43_300713971	Новосибирск	Октябрьский	Выборная	99/3	5400	3	101.5	66	13	1	10
43_300714172	Новосибирск	Октябрьский	Бориса Богаткова	203	4200	3	59.4	41.8	6.9	7	9
43_300714192	Новосибирск	Октябрьский	Высоцкого	51	6900	3	82	47	18	6	15
43_300714286	Новосибирск	Октябрьский	Декабристов	117	5000	3	88	48.5	14	7	17
43_300714287	Новосибирск	Октябрьский	Высоцкого	52	4000	3	75.5	31	25.5	7	10
43_300714288	Новосибирск	Октябрьский	Толстого	5	10500	3	110.8	66.9	15.4	4	10
43_300714330	Новосибирск	Октябрьский	Белинского	6	5000	3	65.6	40	9	8	10
43_300714336	Новосибирск	Октябрьский	Военная	43709	9500	3	125.5	56	41	11	17
43_300714337	Новосибирск	Октябрьский	Большевистская	114	6100	3	74.5	44.2	12	2	10
43_300714393	Новосибирск	Октябрьский	Бориса Богаткова	218	7200	3	70	0	27	6	8
43_300714426	Новосибирск	Октябрьский	Шевченко	29	7200	3	86.6	51.06	13.4	13	13
43_300714489	Новосибирск	Октябрьский	Восход	14	3490	3	52.8	36	6	2	5
43_300714562	Новосибирск	Октябрьский	Виталия Потылицына	43649	4850	3	86.7	56.5	12.9	2	10
43_300714566	Новосибирск	Октябрьский	Военная	43710	6500	3	78.5	46.9	13	10	18
43_300714822	Новосибирск	Октябрьский	Ленинградская	100	4150	3	63.4	30.4	11	4	5
43_300714840	Новосибирск	Октябрьский	Зыряновская	55	5950	3	79.8	32	32	2	10
43_300715237	Новосибирск	Октябрьский	Бориса Богаткова	207	3500	3	59.3	39.9	7	1	9
43_300715258	Новосибирск	Октябрьский	Военная	43710	7640	3	97.9	57.9	17.6	21	25
43_300715259	Новосибирск	Октябрьский	Военная	43710	7029	3	106.5	61.9	16.7	3	18
43_300715260	Новосибирск	Октябрьский	Военная	43710	6619	3	87.1	53.6	13.5	2	18
43_300715261	Новосибирск	Октябрьский	Военная	43710	6570	3	77.3	47	13.2	17	18
43_300715262	Новосибирск	Октябрьский	Военная	43709	7418	3	98.9	54	12	13	17
43_300715265	Новосибирск	Октябрьский	Военная	18	11300	3	89.99	27	38.3	12	18
43_300715374	Новосибирск	Октябрьский	Большевистская	100	6600	3	74.3	25	30	16	17
